ID_CELLA;UTM_EST;UTM_NORD
444;521000;4971000
445;525000;4971000
446;529000;4971000
447;533000;4971000
448;537000;4971000
449;541000;4971000
450;545000;4971000
451;549000;4971000
452;553000;4971000
453;557000;4971000
454;561000;4971000
455;565000;4971000
456;569000;4971000
457;573000;4971000
458;577000;4971000
459;581000;4971000
460;585000;4971000
461;589000;4971000
462;593000;4971000
463;597000;4971000
464;601000;4971000
465;605000;4971000
466;609000;4971000
467;613000;4971000
468;617000;4971000
469;621000;4971000
470;625000;4971000
471;629000;4971000
472;633000;4971000
473;637000;4971000
474;641000;4971000
475;645000;4971000
476;649000;4971000
477;653000;4971000
478;657000;4971000
479;661000;4971000
480;665000;4971000
481;669000;4971000
482;673000;4971000
483;677000;4971000
484;681000;4971000
485;685000;4971000
486;689000;4971000
487;693000;4971000
488;697000;4971000
489;457000;4975000
490;461000;4975000
491;465000;4975000
492;469000;4975000
493;473000;4975000
494;477000;4975000
495;481000;4975000
496;485000;4975000
497;489000;4975000
498;493000;4975000
499;497000;4975000
500;501000;4975000
501;505000;4975000
502;509000;4975000
503;513000;4975000
504;517000;4975000
505;521000;4975000
506;525000;4975000
507;529000;4975000
508;533000;4975000
509;537000;4975000
510;541000;4975000
511;545000;4975000
512;549000;4975000
513;553000;4975000
514;557000;4975000
515;561000;4975000
516;565000;4975000
517;569000;4975000
518;573000;4975000
519;577000;4975000
520;581000;4975000
521;585000;4975000
522;589000;4975000
523;593000;4975000
524;597000;4975000
525;601000;4975000
526;605000;4975000
527;609000;4975000
528;613000;4975000
529;617000;4975000
530;621000;4975000
531;625000;4975000
532;629000;4975000
533;633000;4975000
534;637000;4975000
535;641000;4975000
536;645000;4975000
537;649000;4975000
538;653000;4975000
539;657000;4975000
540;661000;4975000
541;665000;4975000
542;669000;4975000
543;673000;4975000
544;677000;4975000
545;681000;4975000
546;685000;4975000
547;689000;4975000
548;693000;4975000
549;697000;4975000
550;457000;4979000
551;461000;4979000
552;465000;4979000
553;469000;4979000
554;473000;4979000
555;477000;4979000
556;481000;4979000
557;485000;4979000
558;489000;4979000
559;493000;4979000
560;497000;4979000
561;501000;4979000
562;505000;4979000
563;509000;4979000
564;513000;4979000
565;517000;4979000
566;521000;4979000
567;525000;4979000
568;529000;4979000
569;533000;4979000
570;537000;4979000
571;541000;4979000
572;545000;4979000
573;549000;4979000
574;553000;4979000
575;557000;4979000
576;561000;4979000
577;565000;4979000
578;569000;4979000
